estonian,english
programm,program
nancy,Nancy
mängust,the game
tasemel,the level of
visake,throw
tüdruksõber,girlfriend
elusid,lives
õnnistatud,blessed
rõve,ribald
õudne,spooky
teelt,the road
lilli,flowers
mõnel,some
kabinetis,office
kutiga,a guy
õpid,learn
tulistati,shot
lõikan,reaping
narkotsi,drugs
vahe,difference
näoga,straight face
sõi,ate
teatada,announce
signaal,signal
edeneb,progressing
autod,cars
miles,Miles
osad,parts
istume,sit in
papa,papa
lõhn,odor
esimesest,first
kõrvad,ears
sõnagi,word about
palusid,asked
isast,father
järelikult,Consequently
ühendus,connection
tüübi,type
istus,sat
naisest,woman
saar,Island
maalt,the land
püss,gun
arenenud,developed
kordagi,never once
suuremat,more
homo,homo
julm,cruel
kaarte,cards
arvamust,opinion
pilves,overcast
lasku,shots
ärkasin,woke up
šerif,sheriff
aken,window
paistad,seem to
tulistasid,shot
mõlemat,both
abiellu,marry
ian,ian
hunt,wolf
inglismaa,England
nüüdseks,by now
vastupidi,vice versa
endas,increased
buss,bus
nuppu,button
võimeid,capabilities
türapea,dickhead
teades,knowing
kõrva,ear
of,of
esmaspäeval,on Monday
peatus,stop
tekkis,arose
ilm,weather
ajaloos,in history
viisakas,courteous
kurja,the evil
lubanud,pledged
parker,Parker
kursis,keep up
eraldi,separately
vapustav,fabulous
kotis,in the bag
talu,farm
valmistada,prepare
peidetud,hidden
kätes,in the hands of
seisan,will stand
laulda,to sing
vanasti,formerly
pääsema,escape
pöörata,to pay
mac,mac
üpris,very
lask,shot
cooper,Cooper
pede,fag
silla,bridge
abielluma,marry
mugav,comfortable
elagu,viva
nutikas,clever
valvel,on the alert
elasin,lived
etendus,show
kirikus,the church
valetada,lie
sõrmuse,the ring
prl,Ms
liz,liz
lööd,kicking
ootasid,waited
seade,appliance
kirik,church
täidetud,filled
show,show
charlotte,Charlotte
tahagi,even want
potter,Potter
püsida,stay
vahva,spirited
valve,guard
ndal,th
oskate,you know how
osakond,department
palunud,asked
udu,mist
puhtalt,purely
tõmban,pull
polnudki,was not
meeleldi,gladly
haigus,disease
plaane,plans
bart,Bart
woody,Woody
pidas,considered
ajame,pursue
kung,kung
lastakse,allowed
edukas,successful
augu,hole
seadust,the law
sundis,was born
silmist,sight
seast,from
toodi,brought
korrus,floor
romantiline,romantic
antakse,will be
oleneb,depends
pääsenud,escaped
hävitab,will destroy
neitsi,Virgin
tabas,hit
püüavad,trying to
viinud,led to
silme,sight
projekt,project
ronnie,Ronnie
magan,dreaming
inimkonna,mankind
lõuad,jaws
ühendatud,united
proovis,tried
nurka,angle
aafrika,Africa
olev,existing
foto,photo
liikumist,movement
teretulnud,welcome
naerata,smile
kohver,suitcase
noore,young
nägudeni,See you later
väljapääs,exit
erinevat,different
nimetada,mention
lõpetatud,finished
ne,ne
senti,cents
poisiga,boy
punkt,point
kiirust,the speed
legend,legend
ostsid,bought
valget,white
gaasi,gas
turvaliselt,safely
kasi,Kasi
lahingus,the battle
tagurpidi,upside down
lenda,fly
katusel,roof
teisega,another
igatsema,yearn
armu,grace
hakkate,you start
aah,aah
pooleks,halves
kirjutad,write
noorem,junior
jordan,jordan
saba,tail
viiakse,carried
soovime,we wish
eluks,life
kohut,judge
hävitatud,destroyed
um,um
white,White
sinnapoole,thither
olemise,being
vanessa,vanessa
ni,ni
kuld,gold
kulla,of gold
kadusid,losses
hinda,rate
värsket,fresh
plahvatus,explosion
öösiti,night
võrratu,peerless
astus,resigned
lendama,fly
arreteeritud,arrested
mckay,McKay
paistis,shone
eelmise,previous
lionel,lionel
suudlus,kiss
aastaks,year
seaduse,law
oscar,oscar
omast,that of
kohtud,courts
käitumine,behavior
ajavad,doing
pimedas,dark
ööseks,night
lõvi,lion
yorgi,York
kontrollige,Check out
rikkusid,ruined
sõin,I ate
steven,steven
kõikidele,all
usume,believe
valmistuge,ready to support
märkasin,noticed
olukorra,the situation
viite,reference
täname,Thank you
www,www
sügaval,deep
sherif,Sherif
jee,jee
aeglasemalt,slower
maetud,buried
vaade,view
hinna,price
keerasin,fucked
kaardid,cards
sõitsin,drove
värdjad,motherfuckers
südamesse,hearts
siinkandis,hereabout
kuuldele,month of
väljakutse,challenge
hulka,among
naistega,with women
alustas,started
kõigele,all
tänavale,the streets
homseks,tomorrow
segadusse,confused
alkoholi,alcohol
tunnistan,witness
mere,sea
hoolitseb,take care
leiaks,find
jääte,you become
kaitseks,protection
muutud,will become
Wilson,Wilson
buzz,the buzz
tantsi,dancer
tütrega,my daughter
tina,tin
mäe,hill
mõtlesime,we thought
palve,prayer
risti,crosswise
puha,holiday
lapsele,baby
ajasin,drove
petta,deceive
it,IT
kõri,throat
elusana,alive
vestlus,conversation
usuks,believe
klass,class
ajanud,driven
dale,dale
richie,Richie
õpetan,teach
projekti,project
igaks,just
Howard,Howard
Washingtoni,Washington
taolist,like
maininud,mention
relvade,weapons
tähtsat,important
tulles,coming
peremees,owner
sekund,second
keppida,fuck
tiiger,tiger
naha,skin
brown,Brown
palav,hot
kahel,in two
tõmbab,pulls
halva,bad
pojale,son
tegemas,make
lõpule,completion
tagumiku,butt
universumi,the universe
kurjategija,felon
parimaid,best
röövida,rob
lubab,promises
ori,slave
pahad,bad
kakskümmend,twenty
maagia,magic
euroopa,Europe
lennukis,on the plane
kauboi,cowboy
usk,faith
miljoneid,millions
mmm,mmm
õnnistagu,blessings
asjale,thing
igalt,each
võidan,win
riista,dick
riides,dressed
klubis,club
jäljed,traces
mia,mia
georgia,Georgia
sattusin,I got
mootor,engine
hoidku,forbid
ehitatud,constructed
kättemaks,revenge
pääseme,escape
mõrvas,of murder
lapsega,baby
terved,healthy
varakult,early
kahest,the two
armastatud,beloved
nautige,have fun
langenud,fallen
kabinetti,office
prügi,trash
da,da
tegevust,activity
city,City
teistel,other
rob,Rob
pariisis,Paris
joome,we drink
proovige,try
tänav,street
aitavad,help
rasked,heavy
jutustas,told
jätaks,leave
kiirus,speed
maailmale,the world
vabandus,excuse
angela,angela
marie,marie
proovid,samples
kongi,Kong
green,Green
liinil,on the line
hunnik,pile
imeb,sucks
suhet,the ratio
võida,Win
käituda,behave
väljaarvatud,except for
kõvemini,speak up
vanemaid,parents
võitleme,fight
saadud,received
hinnaga,at the cost of
silmitsi,confronted
kobi,Kobi
vilets,shoddy
päästikule,pull the trigger
jo,jo
suurepärased,great
aegu,Expiration
tohtinud,could
krahv,earl
tõmbas,drew
annate,you give
vormis,in the form of
ho,ho
igast,each
uute,new
ainsad,only
juhid,leaders
mõjub,acts
turvalisuse,security
kukkunud,failed
ned,Ned
pakk,package
kuramuse,bloody
surnukeha,dead body
pooled,sides
korteri,apartment
chandler,Chandler
reedel,on Friday
juut,Jew
klaas,glass
müristus,cow
pakkus,offered
omada,own
muretsed,worried
abby,Abby
õnnestunud,succeeded
temata,without him
ametlik,official
alanud,begun
kõlas,sounded
suve,summer
tundmatu,unknown
kaduda,disappear
tase,level
lähedased,close
lahkuge,leave
telefonile,phone
stanley,stanley
väärib,worth
lukku,lock
pudel,bottle
hirmutada,scare
tapetakse,killed
pahandusi,trouble
jalutama,stroll
inetu,ugly
naisel,woman
muutusid,changed
anun,plead
eri,special
sooviksid,would like to
hoidsid,maintained
maksnud,paid
lapsehoidja,nanny
tähed,stars
raymond,raymond
id,s
lähemalt,closer
leidub,is found
rõõmuga,gladly
vees,water
müüb,is selling
iidsete,ancients
näitame,show
isu,hunger
lahkusin,I left the
lükka,push
vanu,old
enamasti,mostly
masina,machinery
trevor,trevor
suutsin,I could
rääkimata,not to mention
prantsusmaa,France
tulnukad,aliens
tulistama,shoot
pojaga,son
muutsid,changed
jessica,jessica
otsuseid,decisions
jooksid,ran
kõiges,everything
kasvasin,grew
koridori,corridor
prue,Prue
teyla,Teyla
terves,healthy
sarnased,similar
pesu,wash
võtaksin,would take
perega,with family
kuulma,hear
paksu,thick
tegevus,activity
üksused,items
Carlos,Carlos
you,You
nonii,Nonii
londonis,London
millises,in which
laula,crow
erinevaid,different
laual,on the table
eelistan,prefer
west,West
võtme,the key
hoolib,cares
isiklikku,own
vastama,answer
valinud,chosen
madu,snake
segatud,mixed
rööviti,was kidnapped
tehingu,deal
tahtsite,wanted
sulgeda,shut down
väed,troops
norman,norman
jenna,Jenna
panime,we put
keerasid,turned
küüti,ride
nautida,enjoy
põhjustas,caused
pilet,ticket
rikutud,ruined
abiellun,marry
mängivad,play
seeru,serum
sõid,eat
imelikult,strangely
naerma,laugh
vanni,bath
seisad,you stand
vangid,prisoners
võttes,taking
tundud,seem
võitu,victory
silmis,in the eyes of
püüdsid,tried
andestage,forgive
sundida,force
sõrmust,rings
märke,signs of
ülikoolis,in the University
Taylor,Taylor
ettepaneku,proposal
kohti,sites
paati,boats
surmast,death
aitame,help
soovinud,wanted
hiilgav,brilliant
lauda,table
pakkumise,offer
müts,hat
kere,trunk
silmade,the eyes
huvides,the interests of
Jonathan,Jonathan
mingis,some
kiirustama,hurry
lõhki,cleft
tekitada,cause
leppisime,we agreed
pihku,oozing
Harvey,Harvey
sõjavägi,army
lennukile,plane
suutis,was able to
otsis,sought
käskisid,commanded
ühegi,any
küsimustele,issues
surnuna,dead
päästab,saves
alustasin,started
Harold,Harold
Sammy,Sammy
pausi,pause
tooli,chair
keldris,basement
prillid,spectacles
emast,mother
valetas,liars
õlle,beer
põgenema,flee
otsustab,decides
restoranis,restaurant
vaataks,review
pank,bank
seesama,the same
vastused,answers
ring,round
tõlkinud,translated
jaga,share
korterisse,apartment
varustus,supply
vabandama,extenuate
rääkisite,talked about
kiiret,speedy
kari,flock
palka,Hiring
usaldad,trust
arv,number
holly,Holly
veetsin,I spent
voolu,flow
toast,the room
löönud,undercut
sõit,ride
viltu,awry
lahing,battle
häirib,disturbs
jamie,jamie
nädalaid,for weeks
taskus,pocket
lõbutse,Have fun
minnes,going
Pam,Pam
segamini,mixed
läheksin,to go
võidad,win
punast,red
planeedile,planet
Washington,Washington
suhted,ties
ideed,ideas
isekas,selfish
tualetti,the toilet
mõnes,in some
panga,banking
tunniga,hours
püstol,gun
valetanud,lied to
kujutad,Can you imagine
külaliste,visitors
kaitset,protection
Benny,Benny
robin,robin
kirjanik,writer
hulgast,among the
jooksin,I ran
ujuda,swim
saabunud,arrived
põgenenud,fled
braavo,bravo
põhjustab,causes
pargis,in the park
ravida,treat
Martha,Martha
mängisid,played
teadsite,You Know
ohtlikud,hazardous
sajandi,century
põhjuseks,reason
valiant,Valiant
saage,Receive
lollpea,goof
kuskilt,somewhere
hakake,start
vahetama,exchange
ebaviisakas,rude
niiviisi,thus
vanematele,parents
lisada,add
leppida,accept
kurssi,course
misasja,what
kohtadele,sites
paganama,hell
vastutasuks,in return
mängisin,was playing
vaatamas,watching
unistused,dreams
kukkusin,fell
tõendid,proof
arvesse,into
ülejäänu,the rest of
suud,mouth
toovad,will bring
jalutada,to walk
lõunale,for lunch
unistuste,dream
gandalf,Gandalf
värv,colour
saatana,hellish
uhked,proud of
võmmi,cop
kõikidest,all
kannavad,bear
minekut,to bed
võitleb,fights
lollid,of fools
veendunud,convinced
armukade,jealous
enesetapp,suicide
raisata,wasted
marshall,Marshall
Joseph,Joseph
Gina,Gina
müüs,sold
sõbranna,girlfriend
üksteisele,each other
hoo,hoo
avan,I open
hoolega,carefully
olend,creature
sajab,rains
võtit,the key
hävitama,exterminate
võlur,wizard
naistele,for women
tänavatel,the streets
jook,drink
naeratus,smile
laetud,loaded
lähedalt,closely
jäätist,ice cream
karen,karen
valin,choose
käime,walking
ekspert,expert
tüdrukust,girl
dokumendid,documentation
megan,megan
teiselt,"on the other,"
vajadust,need
ootas,waited
vennaga,brother
hooaeg,season
issake,issakene
politseinikud,police officers
surmani,to death
seniks,until then
nda,th
kehv,poor
suru,compressed
pidasid,considered
sattuda,to get into
tahe,will
kukkusid,tumbled
alfa,alpha
jälginud,watched
annaksid,would
kannul,on one's heels
mõistab,understands the
juhatab,chair
kade,jealous
murdsid,broke the
suuremad,bigger
algust,the beginning
mainis,mentioned
oivaline,smashing
carol,carol
otsustasime,decided
poiste,boys
kellelt,from who
tulemused,results
nimeta,name
hoidsin,I kept
roosa,pink
pinnale,surface
seksida,to have sex
paku,offer
ettepanek,proposal
hoiatan,warn
müü,sell
spioon,spy
röövitud,robbed
perekonnast,the family
pulmad,wedding
luthor,Luthor
jaah,Yeah
kahele,for two
jooki,beverages
laevad,craft
kusagilt,somewhere
rünnakut,onslaught
damon,Damon
armastusest,love
kõrgel,high
pühapäeval,on Sunday
näidanud,show
palub,asks
saatust,destiny
salaja,secretly
näost,face
tantsu,dance
sünnib,is born
korraliku,proper
poisse,boys
hirmutab,scares
kaugelt,far
lennukit,planes
märku,signal
vastane,adversary
asjasse,concerned
nicky,nicky
tehniliselt,technically
rääkimine,speaking
saadetakse,sent to
vajas,needed
kokk,cook
magus,sweet
kogemusi,experience
tühja,blank
kara,tongue
ajastus,timing
ameerikasse,America
abiellud,marry
jura,JURA
võrreldes,compared
lapsena,as a child
anakin,Anakin
basseini,swimming pool
võluv,charming
lossi,the castle
minevikku,the past
rikkus,wealth
ajaga,time
black,Black
Nathan,Nathan
aastaselt,the age of
halvim,worst
intervjuu,interview
teadus,science
stu,stu
vanematega,parents
ulata,Hand
vanaks,getting old
inimesele,people
kingituse,gift
Lawrence,Lawrence
kurjus,evil
ülesande,task
nõustun,I agree
seletan,I will explain
kivid,the rocks
moodus,up
kallid,dear
sakslased,Germans
kaheks,in two
pääsesid,had escaped
tulistan,shoot
vastasel,"otherwise,"
narkootikume,drugs
anthony,anthony
kesta,shell
joogid,drinks
tervitus,welcome
ärkab,wakes up
täieliku,full
juhus,accident
allapoole,below
tulevikust,the future
kujutan,imagine
ründasid,raided
rohtu,medicine
hoiatama,warn
kontor,office
emma,emma
mismoodi,how
kepi,stick
seljatagust,back backing
raskusi,difficulties
peabki,supposed
kontrollib,checking
valitseja,ruler
sarnast,like
kuulid,bullets
võimelised,capable
räägingi,talking about
ohvri,the victim
lendame,fly
juhtumit,case
minevikus,in the past
kõnnin,walking
kasutatakse,is used
küsige,ask
ühed,some
segan,bother
paadi,the boat
autosid,cars
baby,baby
eetris,aired
sattusid,got into
sündisin,was born
kilomeetrit,yards
lendavad,fly
trenni,workout
surmaga,death
plaanist,the plan
kohtusid,met
uskumatult,incredibly
jaama,stay
han,han
külg,side
tegelane,figure
sõbralik,friendly
kunsti,arts
olnudki,olnudki
milleski,something
külalisi,guests
kirjad,mail
austan,honor
selgitan,explain
täitma,complete
võisin,I could
elate,you live
loobuma,give up
silmadega,eyed
hobused,horses
rutem,sooner
püksi,tROUSERS
mõnele,some
sharon,sharon
mängija,player
troy,Troy
moment,moment
muutun,shall become
kõla,sound
blond,blonde
mugavalt,comfortably
lõppema,end
lastud,shot
röövisid,robbed
juustu,cheese
proovile,to the test
kavatsete,going to
teadlane,scientist
ründab,attacked
lähemal,closer
wendy,wendy
aastase,year
paigale,place
koosolek,meeting
vahid,Vahid
vahetus,exchange
seltsimees,mate
tänavat,the street
mi,mi
vastuse,answer
pikad,long
wade,Wade
shawn,Shawn
tõuske,Arise
soovivad,wish
kokkuleppe,agreement
paistavad,appear
tõmbame,gettin
universum,universe
naabrid,neighbours
saapad,boots
jood,iodine
juhtumisi,accidentally
meeleheitel,desperate
ründavad,attack
tunduvad,seem to
abiellub,marries
shaw,shaw
vajasin,needed
tulnukate,alien
laibad,dead bodies
uudistes,in the news
geniaalne,ingenious
sulgege,recap
löögi,shot
söök,food
kohata,seen in
võitleja,fighter
proovib,tries
hoitakse,is maintained
astub,take
käitub,behave
dennis,dennis
willie,willie
töökoha,workplace
penny,Penny
haiglast,the hospital
manny,Manny
jill,Jill
ennegi,"before,"
karistus,punishment
sugulane,cousin
sageli,often
rahvale,people
jätkuvalt,continually
park,park
idioodid,Idiots
muust,other
püüdke,try
loa,permit
tegelenud,done
cm,cm
abiellus,married
uksele,the door
keeras,turned
astud,agglomerations
jooksed,run
laadida,download
saladuse,secrets
poliitika,policy
sõdalane,warrior
rakett,rocket
russell,russell
sitakott,scumbag
järjekorras,in the order
vein,wine
naera,laughing
laksu,slap
õega,sister
sisaldab,includes
partnerid,partners
sügav,deep
piirkonnas,In the area
poisile,the boy
pesta,wash
vestelda,to chat
seo,SEO
tulistamine,firing
otsisid,searched
filme,movies
nakatunud,infected
mõõga,the sword
sügavale,deep
rikkaks,rich
needus,curse
minutiks,minutes
põrandal,on the floor
sead,pigs
heaküll,OK
päästan,save
planeedilt,the planet
francis,francis
tugevalt,strongly
näitad,näitad
lukustatud,locked
õiged,right
omab,owns
kolida,to move
rannas,on the beach
raamatus,the book
käiku,gears
annaksin,would give
saarelt,the island
keskele,in the middle
gaius,Gaius
millelegi,something
tavalised,usual
märg,wet
läände,west
ütelda,tell
nicholas,nicholas
omi,own
viisin,took
sõrmed,fingers
istusin,sat
abiga,help
lahkuvad,leave
tühiasi,trivia
kasutatud,spent
mõistust,common sense
politseile,the police
tiim,team
kitt,putty
sõitsid,traveled
big,Big
punased,red
agendid,agents
jääksid,would
võidame,will win
samuel,samuel
teateid,posts
joy,Joy
kohtamas,dating
mägedes,mountains
kollane,yellow
evan,evan
plahvatab,explodes
dušši,shower
katherine,katherine
rinnad,breasts
teenistuses,serving
jäetud,deleted
pimedaks,blinded
eemaldada,remove
pitsa,pizza
kaitsen,defend
yo,yo
mütsi,hat
tõsist,serious
hulk,number
võistlus,contest
ahh,ahh
jardi,yards
töötasid,worked
masinad,machinery
munn,dick
põgene,flee
hakkaks,would
rolli,role of
hall,gray
ravimeid,drugs
erinevalt,differently
aitasin,helped
tulekul,coming
raskelt,heavily
lükata,postpone
kaup,goods
perele,family
wc,wC
teaksin,I knew
reeglite,rules
fu,fu
avastasin,discovered
saare,the island
puhtad,clean
elajas,beast
hukka,denounced
lapsest,childhood
tulemus,result
röövis,kidnapped
sõnumit,the message
kolis,moved to
maya,Maya
tegude,acts
kütust,of fuel
võlgned,owe
tuhande,thousand
tormi,the storm
paik,place
võrra,by
avaneb,opens
ideid,ideas
cindy,cindy
lehm,cow
randa,beaches
rämps,trash
hääli,Votes
kiirem,faster
sild,bridge
heita,shed
õhtusööki,"dinner,"
lõikas,slit
kama,KAMA
mõrd,weir
kuuluvad,belong to
alustasid,started
ilusam,prettier
kuulab,listens to
aluspesu,underwear
valetama,lie
juhtunu,what happened
sandy,Sandy
kihlatud,engaged
ühenduse,Community
vähk,cancer
posti,mail
mänge,games
seisis,stood in
harris,harris
peida,hide
nõukogude,councils
kotid,bags
varastanud,stolen
üksnes,only
valisin,I chose
